Constructive Heuristics: SCIH2
Indexes: Best Known Combo
After constructive: Cross
Instance Time_SCIH2 Result_SCIH2 #Routes Time_Cross Cross Routes Qt.Improvements
RC103c 0.006 692.1 21 0.417 673.1 21 7
RC104a 0.009 3337 45 0.178 3307 45 4
RC104b 0.009 1064 31 0.291 1046 31 5
RC104c 0.007 667.8 18 0.131 665.8 18 1
RC105a 0.005 3345 45 0.115 3322 45 3
RC105b 0.004 1097 32 0.275 1051 32 6
RC105c 0.006 701.1 21 0.279 695.6 21 4
RC106a 0.005 3343.8 45 0.159 3308 45 4
RC106b 0.005 1046.4 31 0.137 1035 31 2
RC106c 0.004 734.1 19 0.217 716.6 19 3
RC107a 0.006 3346.7 45 0.161 3308 45 4
RC107b 0.007 1050.3 30 0.176 1030 30 3
RC107c 0.005 676.6 18 0.127 672.3 18 1
RC108a 0.008 3343.8 45 0.189 3308 45 4
RC108b 0.008 1056.4 29 0.215 1030 29 4
RC108c 0.01 639.6 18 0.337 626.8 18 4
RC201a 0.015 3170 18 0.068 3170 18 0
RC201b 0.014 880 21 0.071 880 21 0
RC201c 0.02 604 18 0.074 604 18 0
RC202a 0.022 3226 18 0.3 3146 18 3
RC202b 0.02 878 20 0.072 878 20 0
RC202c 0.023 574 16 0.071 574 16 0
RC203a 0.03 3172 18 0.393 3062 18 4
RC203b 0.03 852 20 0.081 852 20 0
RC203c 0.035 514 17 0.078 514 17 0
RC204a 0.038 3144 18 0.355 3062 18 3
RC204b 0.038 852 20 0.096 852 20 0
RC204c 0.07 531 20 0.101 531 20 0
RC205a 0.021 3116 18 0.147 3090 18 1
RC205b 0.019 878 20 0.079 878 20 0
RC205c 0.029 574 16 0.081 574 16 0
RC206a 0.022 3200 18 0.368 3115 18 4
RC206b 0.02 880 21 0.075 880 21 0
RC206c 0.028 534 17 0.077 534 17 0
RC207a 0.027 3170 18 0.226 3118 18 2
RC207b 0.027 876 19 0.078 876 19 0
RC207c 0.038 547 16 0.095 547 16 0
RC208a 0.039 3144 18 0.445 3062 18 4
RC208b 0.034 852 20 0.085 852 20 0
RC208c 0.047 492 16 0.088 492 16 0
